,accuracy,f1_score,roc_auc_score
log_reg,0.7479220354978041,0.47636281384302187,0.8237039003984142
knn,0.9992377772131683,0.9975686002084057,0.9999967620973563
decision_tree,0.8348517295197997,0.5151321398124467,0.8320362424660074
random_forest,0.9993103698595333,0.9978021978021978,0.9999372015994185
mlp,0.7909694747922036,0.49129935518063783,0.8218645429049357
